date,Week,Valencia,Adriatico,Grecia
2015-01-01,1,14.859985,14.609985,18.0
2015-01-08,2,15.019989,14.269989,17.279999
2015-01-15,3,14.829987,14.5,17.100006
2015-01-22,4,14.01001,14.309998,16.519989
2015-01-29,5,13.559998,14.100006,16.359985
2015-02-05,6,13.410004,14.23999,15.839996
2015-02-12,7,12.799988,14.230011,15.619995
2015-02-19,8,13.160004,14.73999,15.679993
2015-02-26,9,13.100006,13.779999,15.410004
2015-03-05,10,13.179993,14.540009,16.170013
2015-03-12,11,13.839996,14.5,15.51001
2015-03-19,12,12.940002,14.350006,15.690002
2015-03-26,13,13.350006,14.019989,15.589996
2015-04-02,14,13.799988,14.839996,16.209991
2015-04-09,15,14.279999,13.779999,16.070007
2015-04-16,16,15.380005,15.48999,16.890015
2015-04-23,17,16.290009,15.410004,17.0
2015-04-30,18,16.540009,15.570007,17.48999
2015-05-07,19,18.359985,17.929993,19.029999
2015-05-14,20,21.279999,18.089996,19.350006
2015-05-21,21,18.570007,18.519989,20.160004
2015-05-28,22,19.529999,19.170013,20.079987
2015-06-04,23,22.320007,21.350006,21.290009
2015-06-11,24,23.76001,24.140015,21.98999
2015-06-18,25,22.339996,23.779999,23.779999
2015-06-25,26,23.329987,21.649994,23.160004
2015-07-02,27,24.429993,22.48999,23.690002
2015-07-09,28,26.01001,26.200012,24.850006
2015-07-16,29,27.76001,26.230011,25.26001
2015-07-23,30,28.25,28.389984,26.299988
2015-07-30,31,27.720001,28.899994,27.48999
2015-08-06,32,27.23999,28.869995,28.570007
2015-08-13,33,26.820007,28.170013,27.73999
2015-08-20,34,26.26001,27.029999,27.440002
2015-08-27,35,26.529999,26.290009,26.829987
2015-09-03,36,26.269989,27.179993,26.190002
2015-09-10,37,24.640015,24.390015,26.130005
2015-09-17,38,25.350006,24.660004,25.709991
2015-09-24,39,23.570007,23.940002,26.100006
2015-10-01,40,23.359985,21.540009,25.100006
2015-10-08,41,21.820007,21.670013,24.769989
2015-10-15,42,21.959991,20.640015,24.720001
2015-10-22,43,21.109985,19.380005,23.600006
