id,temp_min,temp_max,weight_min,weight_max,feeding_rate,growth_rate,death_rate
121,11,13,30,48,0.50000,0.08000,0.0220290
121,13,15,30,48,0.80000,0.24000,0.0209800
121,15,17,30,48,1.50000,0.76000,0.0199809
121,17,19,30,48,1.70000,1.03000,0.0190295
121,19,21,30,48,1.90000,1.38000,0.0181233
121,21,23,30,48,2.00000,1.63000,0.0172603
121,23,25,30,48,2.20000,1.84000,0.0163973
121,25,26,30,48,2.60000,2.12000,0.0155774
121,26,27,30,48,3.00000,2.36000,0.0147985
121,27,28,30,48,2.30000,1.72000,0.0140586
121,28,30,30,48,0.70000,0.49000,0.0133557
121,11,13,48,60,0.40000,0.07000,0.0220290
121,13,15,48,60,0.70000,0.19000,0.0209800
121,15,17,48,60,1.20000,0.60000,0.0199809
121,17,19,48,60,1.40000,0.82000,0.0190295
121,19,21,48,60,1.60000,1.13000,0.0181233
121,21,23,48,60,1.80000,1.38000,0.0172603
121,23,25,48,60,1.90000,1.56000,0.0163973
121,25,26,48,60,2.30000,1.80000,0.0155774
121,26,27,48,60,2.70000,2.00000,0.0147985
121,27,28,48,60,2.00000,1.46000,0.0140586
121,28,30,48,60,0.60000,0.42000,0.0133557
121,11,13,60,80,0.30000,0.05000,0.0220290
121,13,15,60,80,0.60000,0.15000,0.0209800
121,15,17,60,80,1.00000,0.46000,0.0199809
121,17,19,60,80,1.20000,0.63000,0.0190295
121,19,21,60,80,1.40000,0.89000,0.0181233
121,21,23,60,80,1.60000,1.12000,0.0172603
121,23,25,60,80,1.70000,1.26000,0.0163973
121,25,26,60,80,2.00000,1.46000,0.0155774
121,26,27,60,80,2.40000,1.62000,0.0147985
121,27,28,60,80,1.80000,1.18000,0.0140586
121,28,30,60,80,0.60000,0.34000,0.0133557
121,11,13,80,100,0.30000,0.05000,0.0220290
121,13,15,80,100,0.60000,0.14000,0.0209800
121,15,17,80,100,1.00000,0.43000,0.0199809
121,17,19,80,100,1.10000,0.58000,0.0190295
121,19,21,80,100,1.40000,0.81000,0.0181233
121,21,23,80,100,1.50000,1.01000,0.0172603
121,23,25,80,100,1.60000,1.13000,0.0163973
121,25,26,80,100,1.90000,1.31000,0.0155774
121,26,27,80,100,2.20000,1.45000,0.0147985
121,27,28,80,100,1.70000,1.06000,0.0140586
121,28,30,80,100,0.50000,0.30000,0.0133557
121,11,13,100,150,0.30000,0.04000,0.0220290
121,13,15,100,150,0.50000,0.13000,0.0209800
121,15,17,100,150,1.00000,0.39000,0.0199809
121,17,19,100,150,1.10000,0.53000,0.0190295
121,19,21,100,150,1.30000,0.71000,0.0181233
121,21,23,100,150,1.40000,0.86000,0.0172603
121,23,25,100,150,1.50000,0.97000,0.0163973
121,25,26,100,150,1.80000,1.12000,0.0155774
121,26,27,100,150,2.10000,1.25000,0.0147985
121,27,28,100,150,1.60000,0.91000,0.0140586
121,28,30,100,150,0.50000,0.26000,0.0133557
121,11,13,150,200,0.30000,0.03000,0.0209800
121,13,15,150,200,0.50000,0.10000,0.0199809
121,15,17,150,200,0.90000,0.33000,0.0190295
121,17,19,150,200,1.10000,0.44000,0.0181233
121,19,21,150,200,1.20000,0.59000,0.0172603
121,21,23,150,200,1.30000,0.71000,0.0164384
121,23,25,150,200,1.40000,0.80000,0.0156164
121,25,26,150,200,1.70000,0.92000,0.0148356
121,26,27,150,200,1.90000,1.02000,0.0140938
121,27,28,150,200,1.50000,0.75000,0.0133891
121,28,30,150,200,0.50000,0.21000,0.0127197
121,11,13,200,250,0.30000,0.03000,0.0209800
121,13,15,200,250,0.50000,0.09000,0.0199809
121,15,17,200,250,0.90000,0.30000,0.0190295
121,17,19,200,250,1.00000,0.40000,0.0181233
121,19,21,200,250,1.20000,0.54000,0.0172603
121,21,23,200,250,1.20000,0.64000,0.0164384
121,23,25,200,250,1.30000,0.72000,0.0156164
121,25,26,200,250,1.60000,0.83000,0.0148356
121,26,27,200,250,1.80000,0.93000,0.0140938
121,27,28,200,250,1.40000,0.68000,0.0133891
121,28,30,200,250,0.40000,0.19000,0.0127197
121,11,13,250,300,0.30000,0.03000,0.0209800
121,13,15,250,300,0.50000,0.09000,0.0199809
121,15,17,250,300,0.80000,0.27000,0.0190295
121,17,19,250,300,1.00000,0.36000,0.0181233
121,19,21,250,300,1.10000,0.48000,0.0172603
121,21,23,250,300,1.20000,0.58000,0.0164384
121,23,25,250,300,1.20000,0.65000,0.0156164
121,25,26,250,300,1.50000,0.75000,0.0148356
121,26,27,250,300,1.70000,0.84000,0.0140938
121,27,28,250,300,1.30000,0.61000,0.0133891
121,28,30,250,300,0.40000,0.17000,0.0127197
121,11,13,300,350,0.30000,0.03000,0.0209800
121,13,15,300,350,0.40000,0.07000,0.0199809
121,15,17,300,350,0.80000,0.23000,0.0190295
121,17,19,300,350,0.90000,0.31000,0.0181233
121,19,21,300,350,1.00000,0.42000,0.0172603
121,21,23,300,350,1.10000,0.51000,0.0164384
121,23,25,300,350,1.20000,0.57000,0.0156164
121,25,26,300,350,1.40000,0.66000,0.0148356
121,26,27,300,350,1.60000,0.73000,0.0140938
121,27,28,300,350,1.20000,0.54000,0.0133891
121,28,30,300,350,0.40000,0.15000,0.0127197
121,11,13,350,400,0.20000,0.02000,0.0199310
121,13,15,350,400,0.40000,0.06000,0.0189819
121,15,17,350,400,0.70000,0.19000,0.0180780
121,17,19,350,400,0.80000,0.26000,0.0172171
121,19,21,350,400,0.90000,0.36000,0.0163973
121,21,23,350,400,1.00000,0.43000,0.0156164
121,23,25,350,400,1.00000,0.48000,0.0148356
121,25,26,350,400,1.20000,0.56000,0.0140938
121,26,27,350,400,1.50000,0.62000,0.0133891
121,27,28,350,400,1.10000,0.45000,0.0127197
121,28,30,350,400,0.40000,0.13000,0.0120837
121,11,13,400,450,0.20000,0.02000,0.0199310
121,13,15,400,450,0.40000,0.06000,0.0189819
121,15,17,400,450,0.60000,0.17000,0.0180780
121,17,19,400,450,0.70000,0.24000,0.0172171
121,19,21,400,450,0.80000,0.32000,0.0163973
121,21,23,400,450,0.90000,0.38000,0.0156164
121,23,25,400,450,1.00000,0.43000,0.0148356
121,25,26,400,450,1.20000,0.50000,0.0140938
121,26,27,400,450,1.30000,0.55000,0.0133891
