Week,300_400,400_600,_600
1,4.25,4.76,7.22
2,4.26,4.77,7.07
3,4.02,4.35,6.96
4,4.06,4.16,7.06
5,4.02,4.12,6.99
6,3.97,4.05,5.86
7,4.05,4.14,5.99
8,3.94,4.12,6.83
9,4.07,4.16,6.9
10,4.13,4.44,6.93
11,4.02,4.45,6.64
12,4.02,4.46,6.65
13,3.94,4.46,6.65
14,3.99,4.47,6.66
15,4.03,4.51,6.73
16,4.23,4.58,6.74
17,4.15,4.54,6.62
18,4.12,4.59,6.5
19,4.21,4.65,6.58
20,4.17,4.6,6.51
21,4.13,4.57,6.46
22,4.16,4.85,6.5
23,4.2,4.9,5.86
24,4.2,4.9,5.87
25,4.28,4.93,5.98
26,4.24,4.89,5.93
27,4.12,4.85,5.75
28,4.19,4.93,5.84
29,4.13,4.92,5.83
30,4.2,5.0,6.63
31,3.91,4.69,5.82
32,3.94,4.82,5.95
33,3.87,4.79,6.53
34,3.89,4.8,6.55
35,3.78,4.77,7.12
36,3.82,5.09,7.47
37,3.68,5.05,7.71
38,3.75,5.15,7.86
39,3.71,5.09,8.62
40,3.57,5.02,7.83
41,3.59,4.88,7.87
42,3.71,4.92,7.77
43,3.89,4.92,7.77
44,3.89,4.67,7.44
45,3.91,4.22,7.83
46,3.89,4.15,7.78
47,3.86,4.12,7.9
48,3.88,4.05,7.93
49,3.88,4.09,7.76
50,3.85,4.77,7.7
51,3.93,4.76,7.69
52,3.94,4.77,7.71
53,4.3265,4.84568,7.34996
54,4.336679999999999,4.85586,7.19726
55,4.092359999999999,4.4283,7.08528
56,4.13308,4.23488,7.18708
57,4.092359999999999,4.19416,7.11582
58,4.04146,4.1229,5.96548
59,4.1229,4.214519999999999,6.0978200000000005
60,4.01092,4.19416,6.95294
61,4.143260000000001,4.23488,7.0242
62,4.20434,4.519920000000001,7.05474
63,4.092359999999999,4.5301,6.75952
64,4.092359999999999,4.54028,6.7697
65,4.01092,4.54028,6.7697
66,4.06182,4.55046,6.77988
67,4.10254,4.59118,6.851140000000001
68,4.30614,4.66244,6.86132
69,4.2247,4.62172,6.73916
70,4.19416,4.67262,6.617
71,4.28578,4.733700000000001,6.698440000000001
72,4.24506,4.682799999999999,6.62718
73,4.20434,4.65226,6.57628
74,4.23488,4.9373,6.617
75,4.2756,4.988200000000001,5.96548
76,4.2756,4.988200000000001,5.97566
77,4.3570400000000005,5.01874,6.08764
78,4.31632,4.97802,6.03674
79,4.19416,4.9373,5.8535
80,4.265420000000001,5.01874,5.94512
81,4.20434,5.00856,5.93494
82,4.2756,5.09,6.74934
83,3.9803800000000003,4.77442,5.92476
84,4.01092,4.90676,6.0571
85,3.9396600000000004,4.87622,6.64754
86,3.96002,4.8864,6.6678999999999995
87,3.8480399999999997,4.85586,7.24816
88,3.88876,5.18162,7.6044599999999996
89,3.7462400000000002,5.1409,7.84878
90,3.8175,5.2427,8.00148
91,3.77678,5.18162,8.77516
92,3.63426,5.11036,7.970940000000001
93,3.65462,4.96784,8.011660000000001
94,3.77678,5.00856,7.90986
95,3.96002,5.00856,7.90986
96,3.96002,4.75406,7.57392
97,3.9803800000000003,4.29596,7.970940000000001
98,3.96002,4.2247,7.92004
99,3.92948,4.19416,8.042200000000001
100,3.94984,4.1229,8.07274
101,3.94984,4.16362,7.89968
102,3.9193000000000002,4.85586,7.8386000000000005
103,4.00074,4.84568,7.82842
104,4.01092,4.85586,7.84878
105,4.3654385,4.889291119999999,7.416109639999999
106,4.375710119999999,4.8995627399999995,7.26203534
107,4.129191239999999,4.4681546999999995,7.149047519999999
108,4.17027772,4.272993919999999,7.251763719999999
